Category,Clean_Resume,Common Skills
DotNet Developer,dotnet developer web holding scrummaster certified passion coding software development azure devops c,"Azure, DevOps, C#"
DotNet Developer,dotnet developer excels cloud native development certified scrummaster certified writing clean maintainable code asp net entity framework c,"ASP.NET, Entity Framework, C#"
DotNet Developer,dotnet developer excels cloud native development certified microsoft certified solution developer mcsd writing clean maintainable code devops entity framework c,"DevOps, Entity Framework, C#"
DotNet Developer,dotnet developer excels asp net mvc certified microsoft certified net core developer writing clean maintainable code devops net core c,"DevOps, .NET Core, C#"
DotNet Developer,dotnet developer skilled developing scalable solution web microsoft certified net core developer c net core asp net,"C#, .NET Core, ASP.NET"
DotNet Developer,dotnet developer skilled developing scalable solution microservices microsoft certified solution developer mcsd asp net azure entity framework,"ASP.NET, Azure, Entity Framework"
DotNet Developer,dotnet developer microservices holding scrummaster certified passion coding software development azure entity framework devops,"Azure, Entity Framework, DevOps"
DotNet Developer,dotnet developer restful apis holding microsoft certified net core developer passion coding software development azure devops c,"Azure, DevOps, C#"
DotNet Developer,dotnet developer excels microservices certified microsoft certified azure developer associate writing clean maintainable code asp net net core entity framework,"ASP.NET, .NET Core, Entity Framework"
DotNet Developer,dotnet developer skilled developing scalable solution web microsoft certified solution developer mcsd devops azure net core,"DevOps, Azure, .NET Core"
DotNet Developer,dotnet developer asp net mvc holding scrummaster certified passion coding software development devops entity framework azure,"DevOps, Entity Framework, Azure"
DotNet Developer,dotnet developer asp net mvc holding scrummaster certified passion coding software development c entity framework asp net,"C#, Entity Framework, ASP.NET"
DotNet Developer,dotnet developer cloud native development holding microsoft certified solution developer mcsd passion coding software development net core devops asp net,".NET Core, DevOps, ASP.NET"
DotNet Developer,dotnet developer restful apis holding scrummaster certified passion coding software development asp net net core c,"ASP.NET, .NET Core, C#"
DotNet Developer,dotnet developer microservices holding microsoft certified solution developer mcsd passion coding software development entity framework devops net core,"Entity Framework, DevOps, .NET Core"
DotNet Developer,dotnet developer skilled developing scalable solution entity framework microsoft certified net core developer azure entity framework net core,"Azure, Entity Framework, .NET Core"
DotNet Developer,dotnet developer skilled developing scalable solution entity framework microsoft certified net core developer entity framework devops azure,"Entity Framework, DevOps, Azure"
DotNet Developer,dotnet developer restful apis holding microsoft certified solution developer mcsd passion coding software development entity framework asp net azure,"Entity Framework, ASP.NET, Azure"
DotNet Developer,dotnet developer skilled developing scalable solution web microsoft certified solution developer mcsd devops azure entity framework,"DevOps, Azure, Entity Framework"
DotNet Developer,dotnet developer skilled developing scalable solution microservices scrummaster certified c asp net devops,"C#, ASP.NET, DevOps"
DotNet Developer,dotnet developer excels restful apis certified microsoft certified net core developer writing clean maintainable code devops entity framework net core,"DevOps, Entity Framework, .NET Core"
DotNet Developer,dotnet developer asp net mvc holding scrummaster certified passion coding software development c net core entity framework,"C#, .NET Core, Entity Framework"
DotNet Developer,dotnet developer restful apis holding microsoft certified azure developer associate passion coding software development c devops asp net,"C#, DevOps, ASP.NET"
DotNet Developer,dotnet developer asp net mvc holding scrummaster certified passion coding software development entity framework net core c,"Entity Framework, .NET Core, C#"
DotNet Developer,dotnet developer skilled developing scalable solution web scrummaster certified azure net core devops,"Azure, .NET Core, DevOps"
DotNet Developer,dotnet developer excels web certified microsoft certified net core developer writing clean maintainable code asp net c devops,"ASP.NET, C#, DevOps"
DotNet Developer,dotnet developer excels entity framework certified microsoft certified net core developer writing clean maintainable code net core entity framework devops,".NET Core, Entity Framework, DevOps"
DotNet Developer,dotnet developer asp net mvc holding microsoft certified azure developer associate passion coding software development devops asp net net core,"DevOps, ASP.NET, .NET Core"
DotNet Developer,dotnet developer skilled developing scalable solution asp net mvc microsoft certified azure developer associate entity framework devops net core,"Entity Framework, DevOps, .NET Core"
DotNet Developer,dotnet developer restful apis holding scrummaster certified passion coding software development c net core entity framework,"C#, .NET Core, Entity Framework"
DotNet Developer,dotnet developer excels cloud native development certified microsoft certified azure developer associate writing clean maintainable code net core asp net entity framework,".NET Core, ASP.NET, Entity Framework"
DotNet Developer,dotnet developer cloud native development holding microsoft certified azure developer associate passion coding software development c azure entity framework,"C#, Azure, Entity Framework"
DotNet Developer,dotnet developer skilled developing scalable solution web microsoft certified solution developer mcsd net core entity framework azure,".NET Core, Entity Framework, Azure"
DotNet Developer,dotnet developer excels restful apis certified microsoft certified net core developer writing clean maintainable code net core devops entity framework,".NET Core, DevOps, Entity Framework"
DotNet Developer,dotnet developer restful apis holding microsoft certified solution developer mcsd passion coding software development net core azure devops,".NET Core, Azure, DevOps"
DotNet Developer,dotnet developer skilled developing scalable solution asp net mvc microsoft certified azure developer associate azure asp net entity framework,"Azure, ASP.NET, Entity Framework"
DotNet Developer,dotnet developer skilled developing scalable solution restful apis microsoft certified azure developer associate azure net core entity framework,"Azure, .NET Core, Entity Framework"
DotNet Developer,dotnet developer microservices holding microsoft certified net core developer passion coding software development entity framework net core asp net,"Entity Framework, .NET Core, ASP.NET"
DotNet Developer,dotnet developer microservices holding scrummaster certified passion coding software development net core devops azure,".NET Core, DevOps, Azure"
DotNet Developer,dotnet developer excels restful apis certified scrummaster certified writing clean maintainable code asp net azure net core,"ASP.NET, Azure, .NET Core"
DotNet Developer,dotnet developer web holding microsoft certified solution developer mcsd passion coding software development c entity framework devops,"C#, Entity Framework, DevOps"
DotNet Developer,dotnet developer excels web certified microsoft certified solution developer mcsd writing clean maintainable code c azure devops,"C#, Azure, DevOps"
DotNet Developer,dotnet developer restful apis holding microsoft certified azure developer associate passion coding software development net core asp net entity framework,".NET Core, ASP.NET, Entity Framework"
DotNet Developer,dotnet developer restful apis holding microsoft certified azure developer associate passion coding software development entity framework net core asp net,"Entity Framework, .NET Core, ASP.NET"
DotNet Developer,dotnet developer skilled developing scalable solution microservices microsoft certified azure developer associate c entity framework asp net,"C#, Entity Framework, ASP.NET"
Web Designing,web designing creative flair responsive design validated certified web designer css3 adobe creative suite javascript,"CSS3, Adobe Creative Suite, JavaScript"
Web Designing,web designing creative flair graphic design validated web design everybody coursera javascript adobe creative suite css3,"JavaScript, Adobe Creative Suite, CSS3"
Web Designing,web designing specializes content management system complemented certification google ux design professional certificate emphasis experience sketch figma adobe creative suite,"Sketch, Figma, Adobe Creative Suite"
Web Designing,web designing creative flair content management system validated google ux design professional certificate css3 sketch javascript,"CSS3, Sketch, JavaScript"
Web Designing,web designing creative flair web animation validated certified web designer sketch html5 javascript,"Sketch, HTML5, JavaScript"
Web Designing,web designing specializes content management system complemented certification certified web designer emphasis experience html5 javascript sketch,"HTML5, JavaScript, Sketch"
Web Designing,web designing specializes content management system complemented certification certified web designer emphasis experience css3 sketch figma,"CSS3, Sketch, Figma"
Web Designing,web designing creative flair responsive design validated web design everybody coursera html5 css3 adobe creative suite,"HTML5, CSS3, Adobe Creative Suite"
Web Designing,web designing creative flair seo optimization validated web design everybody coursera css3 figma sketch,"CSS3, Figma, Sketch"
Web Designing,web designing creative flair web animation validated certified web designer sketch javascript adobe creative suite,"Sketch, JavaScript, Adobe Creative Suite"
Web Designing,web designing focused seo optimization adobe certified expert ace crafting engaging intuitive web experience sketch figma javascript,"Sketch, Figma, JavaScript"
Web Designing,web designing specializes web animation complemented certification web design everybody coursera emphasis experience figma javascript html5,"Figma, JavaScript, HTML5"
Web Designing,web designing focused web animation google ux design professional certificate crafting engaging intuitive web experience sketch css3 figma,"Sketch, CSS3, Figma"
Web Designing,web designing focused content management system certified web designer crafting engaging intuitive web experience css3 html5 javascript,"CSS3, HTML5, JavaScript"
Web Designing,web designing creative flair graphic design validated web design everybody coursera sketch adobe creative suite figma,"Sketch, Adobe Creative Suite, Figma"
Web Designing,web designing focused seo optimization adobe certified expert ace crafting engaging intuitive web experience figma adobe creative suite html5,"Figma, Adobe Creative Suite, HTML5"
Web Designing,web designing specializes responsive design complemented certification google ux design professional certificate emphasis experience html5 javascript css3,"HTML5, JavaScript, CSS3"
Web Designing,web designing focused ux ui design certified web designer crafting engaging intuitive web experience javascript sketch figma,"JavaScript, Sketch, Figma"
Web Designing,web designing focused web animation certified web designer crafting engaging intuitive web experience css3 adobe creative suite sketch,"CSS3, Adobe Creative Suite, Sketch"
Web Designing,web designing specializes ux ui design complemented certification google ux design professional certificate emphasis experience html5 adobe creative suite css3,"HTML5, Adobe Creative Suite, CSS3"
Web Designing,web designing focused content management system web design everybody coursera crafting engaging intuitive web experience css3 sketch javascript,"CSS3, Sketch, JavaScript"
Web Designing,web designing specializes web animation complemented certification web design everybody coursera emphasis experience css3 javascript sketch,"CSS3, JavaScript, Sketch"
Web Designing,web designing specializes ux ui design complemented certification adobe certified expert ace emphasis experience javascript adobe creative suite html5,"JavaScript, Adobe Creative Suite, HTML5"
Web Designing,web designing creative flair responsive design validated web design everybody coursera html5 sketch css3,"HTML5, Sketch, CSS3"
Web Designing,web designing specializes ux ui design complemented certification adobe certified expert ace emphasis experience html5 css3 sketch,"HTML5, CSS3, Sketch"
Web Designing,web designing specializes responsive design complemented certification google ux design professional certificate emphasis experience sketch html5 css3,"Sketch, HTML5, CSS3"
Web Designing,web designing focused web animation google ux design professional certificate crafting engaging intuitive web experience javascript css3 html5,"JavaScript, CSS3, HTML5"
Web Designing,web designing focused web animation adobe certified expert ace crafting engaging intuitive web experience javascript adobe creative suite css3,"JavaScript, Adobe Creative Suite, CSS3"
Web Designing,web designing specializes responsive design complemented certification web design everybody coursera emphasis experience html5 sketch css3,"HTML5, Sketch, CSS3"
Web Designing,web designing specializes ux ui design complemented certification certified web designer emphasis experience javascript html5 sketch,"JavaScript, HTML5, Sketch"
Web Designing,web designing specializes web animation complemented certification adobe certified expert ace emphasis experience adobe creative suite javascript figma,"Adobe Creative Suite, JavaScript, Figma"
Web Designing,web designing focused ux ui design web design everybody coursera crafting engaging intuitive web experience figma javascript html5,"Figma, JavaScript, HTML5"
Web Designing,web designing specializes graphic design complemented certification certified web designer emphasis experience adobe creative suite javascript css3,"Adobe Creative Suite, JavaScript, CSS3"
Web Designing,web designing creative flair web animation validated google ux design professional certificate css3 figma html5,"CSS3, Figma, HTML5"
Web Designing,web designing specializes web animation complemented certification google ux design professional certificate emphasis experience adobe creative suite sketch html5,"Adobe Creative Suite, Sketch, HTML5"
Web Designing,web designing focused web animation certified web designer crafting engaging intuitive web experience sketch css3 javascript,"Sketch, CSS3, JavaScript"
Web Designing,web designing creative flair web animation validated certified web designer css3 javascript adobe creative suite,"CSS3, JavaScript, Adobe Creative Suite"
Web Designing,web designing specializes web animation complemented certification adobe certified expert ace emphasis experience sketch figma adobe creative suite,"Sketch, Figma, Adobe Creative Suite"
Web Designing,web designing focused ux ui design google ux design professional certificate crafting engaging intuitive web experience adobe creative suite html5 javascript,"Adobe Creative Suite, HTML5, JavaScript"
Web Designing,web designing specializes responsive design complemented certification adobe certified expert ace emphasis experience javascript css3 figma,"JavaScript, CSS3, Figma"
Web Designing,web designing focused seo optimization adobe certified expert ace crafting engaging intuitive web experience adobe creative suite css3 figma,"Adobe Creative Suite, CSS3, Figma"
Web Designing,web designing specializes web animation complemented certification web design everybody coursera emphasis experience sketch html5 css3,"Sketch, HTML5, CSS3"
Web Designing,web designing creative flair responsive design validated web design everybody coursera adobe creative suite html5 sketch,"Adobe Creative Suite, HTML5, Sketch"
Web Designing,web designing specializes seo optimization complemented certification certified web designer emphasis experience css3 figma javascript,"CSS3, Figma, JavaScript"
Web Designing,web designing creative flair graphic design validated certified web designer sketch figma html5,"Sketch, Figma, HTML5"
Web Designing,web designing specializes content management system complemented certification web design everybody coursera emphasis experience javascript sketch adobe creative suite,"JavaScript, Sketch, Adobe Creative Suite"
Web Designing,web designing focused content management system google ux design professional certificate crafting engaging intuitive web experience css3 javascript figma,"CSS3, JavaScript, Figma"
Web Designing,web designing creative flair content management system validated certified web designer figma adobe creative suite html5,"Figma, Adobe Creative Suite, HTML5"
Web Designing,web designing creative flair ux ui design validated adobe certified expert ace figma css3 javascript,"Figma, CSS3, JavaScript"
Web Designing,web designing focused responsive design certified web designer crafting engaging intuitive web experience javascript adobe creative suite html5,"JavaScript, Adobe Creative Suite, HTML5"
Database,database expert managing optimizing modeling certified oracle database certified professional security best practice tuning nosql,"Security Best Practices, Performance Tuning, NoSQL"
Database,database profound nosql database holding mongodb certified dba focused database efficiency security security best practice nosql,"Security Best Practices, NoSQL, Data Analysis"
Database,database specializing database security background mongodb certified dba adept database design tuning nosql security best practice,"NoSQL, Security Best Practices, Data Analysis"
Database,database specializing nosql database background microsoft certified sql server database administrator adept database design tuning database design nosql,"Database Design, Data Analysis, NoSQL"
Database,database specializing warehousing background oracle database certified professional adept database design tuning sql nosql database design,"SQL, NoSQL, Database Design"
Database,database profound database administration holding microsoft certified sql server database administrator focused database efficiency security database design sql security best practice,"Database Design, SQL, Security Best Practices"
Database,database expert managing optimizing database administration certified oracle database certified professional database design nosql tuning,"Database Design, NoSQL, Performance Tuning"
Database,database profound modeling holding oracle database certified professional focused database efficiency security tuning database design,"Performance Tuning, Database Design, Data Analysis"
Database,database expert managing optimizing sql database development certified mongodb certified dba security best practice database design tuning,"Security Best Practices, Database Design, Performance Tuning"
Database,database profound warehousing holding oracle database certified professional focused database efficiency security database design security best practice sql,"Database Design, Security Best Practices, SQL"
Database,database profound sql database development holding mongodb certified dba focused database efficiency security sql nosql,"Data Analysis, SQL, NoSQL"
Database,database profound database security holding microsoft certified sql server database administrator focused database efficiency security sql database design nosql,"SQL, Database Design, NoSQL"
Database,database specializing modeling background ibm certified database administrator adept database design tuning tuning database design sql,"Performance Tuning, Database Design, SQL"
Database,database specializing database administration background mongodb certified dba adept database design tuning database design tuning,"Database Design, Data Analysis, Performance Tuning"
Database,database profound database security holding ibm certified database administrator focused database efficiency security database design tuning,"Database Design, Data Analysis, Performance Tuning"
Database,database expert managing optimizing sql database development certified oracle database certified professional nosql security best practice,"NoSQL, Security Best Practices, Data Analysis"
Database,database expert managing optimizing nosql database certified oracle database certified professional tuning security best practice sql,"Performance Tuning, Security Best Practices, SQL"
Database,database specializing database administration background microsoft certified sql server database administrator adept database design tuning nosql security best practice,"NoSQL, Security Best Practices, Data Analysis"
Database,database profound warehousing holding ibm certified database administrator focused database efficiency security nosql security best practice tuning,"NoSQL, Security Best Practices, Performance Tuning"
Database,database expert managing optimizing sql database development certified microsoft certified sql server database administrator nosql tuning security best practice,"NoSQL, Performance Tuning, Security Best Practices"
Database,database specializing database administration background microsoft certified sql server database administrator adept database design tuning nosql security best practice sql,"NoSQL, Security Best Practices, SQL"
Database,database expert managing optimizing warehousing certified ibm certified database administrator database design security best practice nosql,"Database Design, Security Best Practices, NoSQL"
Database,database profound modeling holding mongodb certified dba focused database efficiency security database design nosql sql,"Database Design, NoSQL, SQL"
Database,database specializing nosql database background microsoft certified sql server database administrator adept database design tuning tuning database design,"Performance Tuning, Data Analysis, Database Design"
Database,database expert managing optimizing database administration certified oracle database certified professional tuning nosql,"Performance Tuning, Data Analysis, NoSQL"
Database,database expert managing optimizing database security certified ibm certified database administrator tuning database design sql,"Performance Tuning, Database Design, SQL"
Database,database profound nosql database holding microsoft certified sql server database administrator focused database efficiency security database design sql nosql,"Database Design, SQL, NoSQL"
Database,database specializing nosql database background mongodb certified dba adept database design tuning sql database design,"SQL, Data Analysis, Database Design"
Database,database profound modeling holding mongodb certified dba focused database efficiency security sql security best practice nosql,"SQL, Security Best Practices, NoSQL"
Database,database profound modeling holding oracle database certified professional focused database efficiency security sql security best practice nosql,"SQL, Security Best Practices, NoSQL"
Database,database expert managing optimizing sql database development certified oracle database certified professional tuning database design,"Performance Tuning, Database Design, Data Analysis"
Database,database specializing database security background ibm certified database administrator adept database design tuning nosql tuning,"Data Analysis, NoSQL, Performance Tuning"
Database,database specializing sql database development background oracle database certified professional adept database design tuning nosql security best practice,"NoSQL, Data Analysis, Security Best Practices"
Database,database expert managing optimizing sql database development certified ibm certified database administrator database design tuning,"Data Analysis, Database Design, Performance Tuning"
Database,database profound sql database development holding oracle database certified professional focused database efficiency security tuning database design security best practice,"Performance Tuning, Database Design, Security Best Practices"
Database,database specializing database administration background microsoft certified sql server database administrator adept database design tuning sql security best practice,"Data Analysis, SQL, Security Best Practices"
Database,database profound modeling holding microsoft certified sql server database administrator focused database efficiency security nosql tuning sql,"NoSQL, Performance Tuning, SQL"
Database,database profound modeling holding oracle database certified professional focused database efficiency security database design security best practice sql,"Database Design, Security Best Practices, SQL"
Database,database specializing modeling background mongodb certified dba adept database design tuning tuning sql,"Data Analysis, Performance Tuning, SQL"
Database,database profound modeling holding microsoft certified sql server database administrator focused database efficiency security security best practice sql database design,"Security Best Practices, SQL, Database Design"
Database,database expert managing optimizing database security certified oracle database certified professional security best practice tuning,"Security Best Practices, Performance Tuning, Data Analysis"
Database,database profound database security holding oracle database certified professional focused database efficiency security tuning security best practice sql,"Performance Tuning, Security Best Practices, SQL"
Database,database expert managing optimizing nosql database certified oracle database certified professional database design nosql sql,"Database Design, NoSQL, SQL"
Database,database expert managing optimizing nosql database certified mongodb certified dba tuning sql,"Data Analysis, Performance Tuning, SQL"
Database,database specializing warehousing background microsoft certified sql server database administrator adept database design tuning sql tuning database design,"SQL, Performance Tuning, Database Design"
Database,database profound modeling holding oracle database certified professional focused database efficiency security tuning sql,"Performance Tuning, Data Analysis, SQL"
Database,database specializing modeling background microsoft certified sql server database administrator adept database design tuning tuning sql,"Performance Tuning, Data Analysis, SQL"
Database,database expert managing optimizing sql database development certified mongodb certified dba sql security best practice,"SQL, Data Analysis, Security Best Practices"
Database,database expert managing optimizing sql database development certified ibm certified database administrator sql database design tuning,"SQL, Database Design, Performance Tuning"
Database,database profound modeling holding microsoft certified sql server database administrator focused database efficiency security nosql security best practice tuning,"NoSQL, Security Best Practices, Performance Tuning"
Blockchain,blockchain excels smart contract development certified ethereum blockchain developer certification emphasis blockchain technology potential innovation cryptography blockchain technology dapp development,"Cryptography, Blockchain Technology, DApp Development"
Blockchain,blockchain innovator ethereum platform certification including certified blockchain developer focusing development secure decentralized solution ethereum dapp development smart contract,"Ethereum, DApp Development, Smart Contracts"
Blockchain,blockchain extensive experience smart contract development ethereum blockchain developer certification passionate cryptocurrency smart contract development cryptography smart contract solidity,"Cryptography, Smart Contracts, Solidity"
Blockchain,blockchain extensive experience blockchain security blockchain council certified blockchain expert passionate cryptocurrency smart contract development dapp development cryptography smart contract,"DApp Development, Cryptography, Smart Contracts"
Blockchain,blockchain innovator cryptocurrency technology certification including certified blockchain developer focusing development secure decentralized solution dapp development smart contract solidity,"DApp Development, Smart Contracts, Solidity"
Blockchain,blockchain excels decentralized application dapps certified blockchain council certified blockchain expert emphasis blockchain technology potential innovation ethereum cryptography blockchain technology,"Ethereum, Cryptography, Blockchain Technology"
Blockchain,blockchain extensive experience blockchain network architecture ethereum blockchain developer certification passionate cryptocurrency smart contract development dapp development solidity blockchain technology,"DApp Development, Solidity, Blockchain Technology"
Blockchain,blockchain extensive experience cryptocurrency technology ethereum blockchain developer certification passionate cryptocurrency smart contract development solidity dapp development cryptography,"Solidity, DApp Development, Cryptography"
Blockchain,blockchain excels decentralized application dapps certified blockchain council certified blockchain expert emphasis blockchain technology potential innovation smart contract solidity ethereum,"Smart Contracts, Solidity, Ethereum"
